id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278745063,SIÊU HÌNH HỌC DẪN NHẬP,109000,109000,0,0.0,0,0,Lm Athanase Nguyễn Quốc Lâm,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa mềm tay gấp,352,2025-10-12,Bayard Việt Nam,available,1000,True,True,True
278745051,YOUCAT TIẾNG VIỆT CHO THIẾU NHI ,115000,115000,0,0.0,0,3,Youcat Foundation,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa mềm,240,2025-10-12,Bayard Việt Nam,available,1000,True,True,True
278692939,CÔNG GIÁO VIỆT NAM GIAI ĐOẠN 1945-1975 – TS. Ngô Quốc Đông – NXB KHXH,157000,157000,0,0.0,0,1,nhieu tac gia,Nhà Xuất Bản Khoa Học Xã Hội,Nhà Xuất Bản Khoa Học Xã Hội,,Bìa mềm,391,,BÌNH BÁN BOOK,available,1000,True,True,True
277911813,Youcat Cho Thiếu Nhi (Bìa Cứng),115000,115000,0,0.0,0,0,Nhiều,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa cứng,240,2025-05-03,Nhà sách NetaBooks,available,1000,True,True,True
277528007,Combo Sách - Những Câu Chuyện Kể Hay Nhất Trong Kinh Thánh và Tôn Giáo Thế Giới,739200,880000,16,0.0,0,2,,Zenbooks,Nhà Xuất Bản Thế Giới,,Bìa cứng,322,2024-03-06,Zenbooks Official ,available,1000,True,True,True
277306352,Sách - Dẫn Nhập Đức Tin Kitô Giáo - Bayard Việt Nam,149000,149000,0,0.0,0,1,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306348,Sách - Con Là Điều Kỳ Diệu - Truyện Tranh Thiếu Nhi - Bayard Việt Nam,30000,30000,0,0.0,0,6,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306336,Sách - Prunê & Sêraphine - Đón Mừng Giáng Sinh - Truyện Tranh Thiếu Nhi - Bayard Việt Nam,42000,42000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306316,Sách - Đức Giêsu - Truyện Tranh Kinh Thánh - Bayard Việt Nam,97000,97000,0,0.0,0,4,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306306,Sách - Kinh Thánh Cho Thiếu Nhi - Cựu Ước Và Tân Ước - Bayard Việt Nam,186000,186000,0,0.0,0,2,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306262,Sách - Nói Với Con Về Phục Sinh - Truyện Tranh Thiếu Nhi - Bayard Việt Nam,30000,30000,0,0.0,0,5,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306240,Sách - Sư Tử Fura Và Tiên Tri Đa-ni-en - Truyện Tranh Kinh Thánh Song Ngữ Việt Anh - Bayard Việt Nam,53000,53000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306234,Sách - Chúa Ban Cho Có Đôi - 100 Bài Gợi Ý Giảng Lễ Cưới - Bayard Việt Nam,65000,65000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306226,Sách - Đi Tu Có Gì Vui Không - Hành Trình Ơn Gọi Của Các Tu Sĩ Trẻ - Bayard Việt Nam,95000,95000,0,5.0,1,3,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
276811812,Lịch Sử Cơ Đốc Giáo Việt Nam Thế Kỉ 16-19 (Trịnh Vĩnh Thường) - Omega Plus ,214000,268000,20,0.0,0,5,,Omega Plus,Nhà Xuất Bản Hồng Đức,,Bìa mềm,468,2024-12-16,Sống Official,available,1000,True,True,True
276810789,Sách Những Câu Chuyện Kể Hay Nhất Trong Kinh Thánh,346500,450000,23,5.0,8,127,Dorling Kindersley Limited (DK);  Sally Tagholm (kể); Andrea Mills (viết); Julian De Narvaez (minh hoạ),Zenbooks,Nhà Xuất Bản Thế Giới,,Bìa cứng,322,2024-03-12,Tiki Trading,available,1000,False,True,True
276117551,Thiên Chúa Thì Khác,99000,99000,0,5.0,1,3,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa mềm,248,2024-08-31,Nhà sách NetaBooks,available,1000,True,True,True
275716184,Sách Người Phàm Sống Như Bậc Chân Tu Và Nhà Huyền Bí,108000,108000,0,0.0,0,0,Marsha Sinetar,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,256,,Bamboo Books,available,1000,True,True,True
275185573,266 Triều Đại Giáo Hoàng Trong Dòng Lịch Sử Giáo Hội,390000,390000,0,5.0,1,6,Nguyễn Thanh Tùng,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa cứng,368,2024-06-03,Nhà sách NetaBooks,available,1000,True,True,True
274145490,Sách Tri Thức Đức Tin,72500,99000,27,5.0,1,11,Kẻ Tu Đời,Thái Hà,Nhà Xuất Bản Thế Giới,,,164,2024-01-01,Tiki Trading,available,1000,False,True,True
273897365,Câu Chuyện Kinh Thánh - Vanlangbooks ,123250,145000,15,5.0,2,13,Seth Godin,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,376,2022-09-19,Văn Lang Official Store,available,1000,True,True,True
273888427,Ngôn Ngữ Của Chúa ,134000,168000,20,3.0,2,19,Francis S.Collins,Omega Plus,Nhà Xuất Bản Thế Giới,,Bìa mềm,352,2019-07-01,Alpha Books Official,available,1000,True,True,True
273888415,Ngôn Ngữ Của Chúa ,134000,168000,20,5.0,3,35,Francis S.Collins,Omega Plus,Nhà Xuất Bản Thế Giới,,Bìa mềm,352,,Alpha Books Official,available,1000,True,True,True
273737647,Sách Câu Chuyện Kinh Thánh - Tái Bản,122000,169000,28,5.0,7,71,Selina Hastings,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,376,,Tiki Trading,available,1000,True,True,True
273713889,"GIÊSU, CON NGƯỜI TỰ DO - Phác Thảo Một Kitô Học",99000,99000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa mềm tay gấp,224,2024-01-10,Bayard Việt Nam,available,1000,True,True,True
273611892,Sách - Kiếp Nào Ta Cũng Tìm Thấy Nhau (TH) -mk,122000,129000,5,0.0,0,1,,Thái Hà,Nhà Xuất Bản Lao Động,,,,,Sống Official,available,1000,True,True,True
272059152,Từ Điển Kinh Thánh Anh - Việt (Minh Họa Và Sách Dẫn) - Vanlangbooks,489020,499000,2,5.0,1,20,Geoffrey Wigoder,VanLangBooks,Nhà Xuất Bản Từ Điển Bách Khoa,,Bìa cứng,1152,2013-09-01,Văn Lang Official Store,available,1000,True,True,True
271484883,Kinh Thánh Nói Gì Về Tương Lai,101000,101000,0,0.0,0,2,,AZ Việt Nam,Nhà Xuất Bản Dân Trí,,,,,Bamboo Books,available,1000,True,True,True
263453669,Tuyển Tập Ratzinger,190000,190000,0,0.0,0,7,Nhiều,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa mềm,624,2023-06-20,Nhà sách NetaBooks,available,1000,True,True,True
252786366,TỰ BẠCH (CONFESSIONS) - Thánh Augustine - Bùi Trần Ca Dao dịch – Omegaplus -NXB Thế Giới,206000,258000,20,5.0,1,4,,OMEGA PLUS+,Nhà Xuất Bản Thế Giới,,,,,Alpha Books Official,available,1000,True,True,True
248420078,Tuyển Tập Ratzinger,190000,190000,0,5.0,2,16,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa mềm,624,2023-04-11,Bayard Việt Nam,available,1000,True,True,True
210275429,DẪN NHẬP ĐỨC TIN KITÔ GIÁO,149000,149000,0,5.0,1,1,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa mềm,528,2023-01-07,Bayard Việt Nam,available,1000,True,True,True
204804958,Hướng Đi Cho Cuộc Đời,170000,170000,0,5.0,1,1,J Krishnamurti,Cty Sách Đông Nam,Nhà Xuất Bản Hồng Đức,,Bìa mềm,357,,Bảo Châu Books,available,1000,True,True,True
197952143,Câu Chuyện Kinh Thánh,169000,169000,0,0.0,0,17,Selina Hastings,Cty Văn Hóa Văn Lang,Nhà Xuất Bản Hồng Đức,,Bìa mềm,376,2022-09-19,Nhà sách NetaBooks,available,1000,True,True,True
171184629,Sách Công giáo - Phúc Cho Ai Không Thấy Mà Tin - Những câu chuyện nhiệm mầu về hồng ân Thiên Chúa,88000,88000,0,0.0,0,4,Gene Edwards,First News - Trí Việt,Nhà Xuất Bản Tổng Hợp,,Bìa mềm,192,,Bamboo Books,available,1000,True,True,True
167615473,Bible Stories 2 - Những Câu Chuyện Khinh Thánh (Tập 2),54000,54000,0,5.0,1,5,,First News - Trí Việt,oem,,,,,Bamboo Books,available,1000,True,True,True
48595526,Sách Công Giáo Và Đức KiTô ( Tái Bản),262400,320000,18,5.0,5,32,Lý Minh Tuấn,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Tôn Giáo,,Bìa mềm,1232,2020-02-02,Nhà sách Fahasa,available,1000,True,True,True
2902217,Sách Ngôn Ngữ Của Chúa (Tái Bản 2018),122600,168000,27,4.8,109,1895,Francis S.Collins,Omega Plus,Nhà Xuất Bản Thế Giới,,Bìa mềm,352,,Tiki Trading,available,1000,False,True,True
493278,Sách Đấng Cứu Thế,57000,57000,0,5.0,18,248,,Công Ty TNHH Văn Hóa Đông Tây,Nhà Xuất Bản Lao Động,,Bìa mềm,214,2016-04-26,Đông Tây,available,1000,True,True,True
409053,Sách Văn Hóa Công Giáo Nhìn Từ Biểu Tượng Nhà Thờ Điểm Đến Của Những Cuộc Hành Hương,239000,239000,0,3.0,2,10,,Nhà sách Lao Động,3A Network,,Bìa mềm,431,2013-10-31,Nhà Sách Lao Động,available,1000,True,True,True
278620256,THÁNH GIUSTINÔ - BẢO VỆ CHÂN LÝ KITÔ GIÁO,95000,95000,0,0.0,0,3,Lm F.X Phạm Đình Phước,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Đồng Nai,,Bìa mềm tay gấp,236,2025-09-23,Bayard Việt Nam,available,1000,True,True,True
278225961,Sách - Hộ Chiếu Nước Trời - Bayard Việt Nam,99000,99000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277727775,Kinh Thánh Cho Giới Trẻ,232750,245000,5,5.0,1,8,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa mềm,432,2025-04-10,Nhà sách NetaBooks,available,1000,True,True,True
277483868,Kinh Thánh Cho Giới Trẻ,245000,245000,0,5.0,2,3,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa mềm,432,,Bayard Việt Nam,available,1000,True,True,True
277383926,Vì Chúa Có Thật - Peter J. Kreeft,125000,125000,0,0.0,0,1,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa mềm,352,2025-01-27,Nhà Sách Tri Văn,available,1000,True,True,True
277306350,Sách - Những Ngày Lễ Công Giáo - Truyện Tranh Thiếu Nhi - Bayard Việt Nam,30000,30000,0,0.0,0,4,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306344,Sách - Gặp Gỡ Thiên Chúa - Truyện Tranh Thiếu Nhi - Bayard Việt Nam,34000,34000,0,0.0,0,6,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306330,Sách - Dẫn Nhập Triết Học - Về Con Người - Vũ Trụ - Thiên Chúa - Bayard Việt Nam,89000,89000,0,0.0,0,1,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306323,Sách - Từ Ngữ Giản Lược - Tìm Hiểu Đức Tin - Giáo Lý - Phụng Vụ - Bayard Việt Nam,75000,75000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306302,Sách - Cầu Nguyện - Sách Tô Màu Dành Cho Bé Mừng Giáng Sinh - Bayard Việt Nam,64000,64000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306300,Sách - Những Mảnh Ghép Cuộc Đời - Tập 1 - Bayard Việt Nam,110000,110000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306296,Sách - Nói Với Con Về Giáng Sinh - Truyện Tranh Thiếu Nhi - Bayard Việt Nam,30000,30000,0,0.0,0,6,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306281,Sách - Thiên Chúa Là Ai - 150 Câu Hỏi Của Thiếu Nhi Và 150 Câu Trả Lời - Bayard Việt Nam,150000,150000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306278,Sách - Khi Chúa Gọi Con - 100 Bài Gợi Ý Giảng Lễ An Táng - Bayard Việt Nam,65000,65000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306242,Sách - Prunê & Sêraphine - Làm Gì Trước Khi Ngủ - Truyện Tranh Thiếu Nhi - Bayard Việt Nam,42000,42000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306227,Sách - Giáo Trình Thực Hành Tâm Lý Lâm Sàng - Bayard Việt Nam,180000,180000,0,5.0,1,1,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306224,Sách - Hành Trình Tâm Linh Của Một Linh Hồn - Bayard Việt Nam,68000,68000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306214,Sách - Gà Trống Clêrô Và Thánh Phêrô - Truyện Tranh Kinh Thánh Song Ngữ Việt Anh - Bayard Việt Nam,53000,53000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306212,"Sách - Giêsu, Con Người Tự Do - Phác Thảo Một Kitô Học - Bayard Việt Nam",99000,99000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
276823258,Lịch Sử Cơ Đốc Giáo Việt Nam Thế Kỉ 16-19 (Trịnh Vĩnh Thường) - Omega Plus ,214000,268000,20,5.0,1,10,Trịnh Vĩnh Thường,Omega Plus,Nhà Xuất Bản Hồng Đức,,Bìa mềm,468,2024-12-17,Alpha Books Official,available,1000,True,True,True
276674168,Hãy Cùng Ước Mơ - Hướng Tới Tương Lai Tốt Đẹp Hơn Cho Nhân Loại (Tái bản năm 2024),125100,139000,10,0.0,0,1,Đức Giáo Hoàng Phanxicô,Phương Nam Book,Nhà Xuất Bản Thế Giới,,Bìa mềm,204,2024-12-02,Nhà Sách Phương Nam,available,1000,True,True,True
276165684,TÔN GIÁO HỌC SO SÁNH,92000,92000,0,0.0,0,7,Pháp Sư Thánh Nghiêm,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Hồng Đức,,Bìa mềm,524,2023-09-13,Sách Hay Tinh Tuyển,available,1000,True,True,True
275894101,LỜI VÀO ĐẤT - Tập 1,145000,145000,0,0.0,0,0,nhieu tac gia,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa mềm,248,2024-09-02,Bayard Việt Nam,available,1000,True,True,True
274170399,Tri Thức - Đức Tin,93000,99000,6,0.0,0,1,Kẻ Tu Đời,Thái Hà,Nhà Xuất Bản Thế Giới,,,,,Nhà sách Fahasa,available,1000,True,True,True
274064116,Câu Chuyện Kinh Thánh (Tái Bản 2023),155400,169000,8,0.0,0,2,Selina Hastings,Cty Văn Hóa Văn Lang,hong duc,,,,,Nhà sách Fahasa,available,1000,True,True,True
273980493,NGÔN NGỮ CỦA CHÚA - Những Bằng Chứng Khoa Học Về Đức Tin - Francis S. Collins – Lê Thanh Thủy dịch – Omega Plus – NXB Thế Giới,168000,168000,0,0.0,0,0,Francis S. Collins,Omega Plus,NXB Thế giới,,Bìa mềm,350,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
273888555,Ngôn Ngữ Của Chúa,134000,168000,20,5.0,4,40,Francis S.Collins,Omega Plus,Nhà Xuất Bản Thế Giới,,Bìa mềm,352,,Omega Plus Books,available,1000,True,True,True
263494213,HÀNH TRÌNH NGANG QUA TIN MỪNG ,115000,115000,0,0.0,0,1,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa mềm,480,2023-07-04,Bayard Việt Nam,available,1000,True,True,True
253470231,Lịch Sử Thượng Đế (Bìa Cứng),255000,319000,20,5.0,1,5,Karen Armstrong,Omega Plus,Nhà Xuất Bản Hồng Đức,,Bìa cứng,648,2023-05-09,Alpha Books Official,available,1000,True,True,True
246282666,Chúng Ta Là Thiên Thần,129000,129000,0,0.0,0,0,,Phương Nam Book,Nhà Xuất Bản Phụ Nữ Việt Nam,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
213562808,(Tác phẩm kinh điển mọi thời đại - Bìa cứng áo ôm) KINH THÁNH - TÂN ƯỚC - Linh mục Nguyễn Thế Thuấn dịch – Omegaplus,425000,425000,0,5.0,2,12,,Công ty Cổ phần Sách Omega Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa cứng,,,BÌNH BÁN BOOK,available,1000,True,True,True
212939433,Kinh Thánh Tân Ước (Bìa Cứng),549000,549000,0,0.0,0,0,,Omega Plus,Nhà Xuất Bản Tôn Giáo,,Bìa cứng,680,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
208633187,Cơ Hội Của Chúa - Bản Đặc Biệt - 	Nguyễn Việt Hà,345000,345000,0,0.0,0,0,,,,,,,,info book,available,1000,True,True,True
204051990,Sách Hãy Cùng Ước Mơ-Hướng Tới Tương Lai Tốt Đẹp Hơn Cho Nhân Loại,121000,139000,13,5.0,4,46,Đức Giáo Hoàng Phanxicô,Phương Nam Book,Nhà Xuất Bản Thế Giới,,Bìa mềm,204,2022-01-01,Tiki Trading,available,1000,False,True,True
197920647,Sách Câu Chuyện Kinh Thánh,143650,169000,15,3.5,2,4,Selina Hastings,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,376,2022-09-01,Bảo Châu Books,available,1000,True,True,True
186110165,ĐỨC MARIA - TẤM GƯƠNG CHO GIÁO HỘI,99000,99000,0,5.0,3,12,Raniero Cantalamessa,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa mềm,400,2022-06-13,Bayard Việt Nam,available,1000,True,True,True
102766676,Công Giáo Và Đức Kitô - Kinh Thánh Qua Cái Nhìn Từ Đông Phương (Tái bản),320000,320000,0,5.0,1,1,,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Tôn Giáo,,Bìa cứng,1232,,Bảo Châu Books,available,1000,True,True,True
37943524,ĐỨC GIÁO HOÀNG BIỂN ĐỨC XVI - RẤT KHIÊM NHU RẤT VĨ ĐẠI,78000,78000,0,5.0,1,23,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,Bìa mềm,228,2019-10-29,Bayard Việt Nam,available,1000,True,True,True
34434290,Sách Tên Ngài Là Thương Xót,71610,93000,23,4.7,13,231,Giáo Hoàng Francis,Nhã Nam,Nhà Xuất Bản Hồng Đức,,Bìa mềm,176,2019-09-01,Tiki Trading,available,1000,False,True,True
320934,Sách Mẹ Teresa - Trên Cả Tình Yêu,88000,88000,0,0.0,0,5,Thomas Moore,First News - Trí Việt,Nhà Xuất Bản Văn Hoá Sài Gòn,,Bìa mềm,200,2008-03-01,Bamboo Books,available,1000,True,True,True
278847949,Sách - God! Why? Lạy Chúa! Tại sao? (Quyển sách bỏ túi dành cho tất cả người trẻ công giáo),75000,75000,0,0.0,0,0,Joseph Nguyễn,Công Ty TNHH Xuất bản và Giáo dục Mochibooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,200,2025-11-05,Nhà sách Mochibooks,available,1000,True,True,True
278740020,THÁNH TÌNH CA,100000,100000,0,0.0,0,1,Lm Thái Nguyên,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Đồng Nai,,Bìa mềm tay gấp,584,2025-10-27,Bayard Việt Nam,available,1000,True,True,True
278681868,TIN MỪNG ĐẤNG EM-MA-NU-EN,125000,125000,0,0.0,0,1,Lm Vinh Sơn Mai Văn Kính,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Đồng Nai,,Bìa mềm tay gấp,396,2025-09-30,Bayard Việt Nam,available,1000,True,True,True
278620262,"NHƯ LÒNG CHÚA MONG ƯỚC - Chiều kích thiêng liêng trong căn tính, sứ vụ, đời sống và tiến trình đào tạo linh mục",60000,60000,0,0.0,0,0,Lm Giuse Cao Viết Tuấn C.M.,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Đồng Nai,,Bìa mềm tay gấp,176,2025-09-23,Bayard Việt Nam,available,1000,True,True,True
278225959,Sách - Kinh Thánh Cho Giới Trẻ - Bayard Việt Nam,245000,245000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
278225956,Sách - Khi Chúa Gọi Con - 100 Bài Gợi Ý Giảng Lễ An Táng - Bayard Việt Nam,65000,65000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
278225955,"Sách - Lê-Vi, Dân Số & Đệ Nhị Luật - Nẻo Đường Xuyên Qua Sa Mạc - Bayard Việt Nam",109000,109000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277496312,(Bìa cứng) HY VỌNG - Đức Giáo Hoàng Phanxicô – Đình Chẩn dịch – sách Nhân Dân,239000,239000,0,5.0,2,47,,Công ty Cổ phần sách Nhân dân,Nhà Xuất Bản Thế Giới,,Bìa cứng áo ôm,,,BÌNH BÁN BOOK,available,1000,True,True,True
277306362,Sách - Xuất Hành - Đức Chúa Sẽ Vượt Qua - Bayard Việt Nam,99000,99000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306360,Sách - Ba Vua Chiêm Tinh - Truyện Tranh Kinh Thánh Song Ngữ Việt Anh - Bayard Việt Nam,41000,41000,0,0.0,0,1,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306356,Sách - Vào Bàn Ăn Thôi - 100 Kỹ Năng Cho Bé Từ 3 Tuổi - Truyện Tranh Thiếu Nhi - Bayard Việt Nam,49000,49000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306342,Sách - Ơn Gọi Yêu Thương - Bayard Việt Nam,95000,95000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306340,Sách - Đức Maria - Tấm Gương Cho Giáo Hội - Bayard Việt Nam,99000,99000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306332,Sách - 266 Triều Đại Giáo Hoàng Trong Dòng Lịch Sử Giáo Hội - Bayard Việt Nam,390000,390000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306308,Sách - Canh Tân Đặc Sủng - Dòng Chảy Ân Sủng Cho Giáo Hội - Bayard Việt Nam,99000,99000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306304,Sách - Bạn Là Hình Ảnh Của Thiên Chúa - Tâm Sự Với Bạn Trẻ - Bayard Việt Nam,38000,38000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306284,Sách - Cầu Nguyện 15 Ngày Với Thánh Augustinô - Bayard Việt Nam,42000,42000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306276,"Sách - Lê-Vi, Dân Số Và Đệ Nhị Luật - Nẻo Đường Xuyên Qua Sa Mạc - Bayard Việt Nam",109000,109000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306267,Sách - Giáo Phụ - Tập 1 - Thế Kỷ I - IV - Bayard Việt Nam,105000,105000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306238,Sách - Hắt Xì - Hắt Xì - Sao Con Bị Cảm - 100 Kỹ Năng Cho Bé Từ 3 Tuổi - Truyện Tranh Thiếu Nhi - Bayard Việt Nam,49000,49000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306230,Sách - Kinh Kính Mừng - Bayard Việt Nam,71000,71000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
277306216,"Sách - Gửi Em, Bạn Trẻ Mới Bước Vào Đời Tu - Bayard Việt Nam",63000,63000,0,0.0,0,0,,Công ty TNHH Bayard Việt Nam,Nhà Xuất Bản Tôn Giáo,,,,,Bamboo Books,available,1000,True,True,True
274064829,Ngôn Ngữ Của Chúa (Tái bản năm 2023),168000,168000,0,0.0,0,1,Francis S. Collins,NXB Thế Giới,Nhà Xuất Bản Thế Giới,,Bìa mềm,350,,Nhà Sách Phương Nam,available,1000,True,True,True
